zcr,rms_energy,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,sp_centroid,sp_rolloff,sp_bw,label
0.0450204375725,6.7063046728,-162.175314589,154.760890418,-24.7801553033,-27.2010176666,-26.4120936765,-3.63615120018,-23.7527862525,-9.26315924182,-12.0236360999,-3.21655589987,-3.67038447239,0.0630988748407,-2.08413647632,2051.25913369,4722.96587243,2750.76070696,101 - Dog
0.00732875036253,0.199844223167,-581.737028287,8.20712211667,-6.65880269508,-4.29090673604,-3.03447815386,0.259279346252,-1.96394657768,-0.271576792484,0.518284082233,0.341884214084,0.906101820254,-0.00952460139566,-0.190549524229,280.522554401,568.906227342,264.801778249,101 - Dog
0.0022975275522,0.173982638084,-586.620998686,11.93307393,-0.986635325289,-1.8029882563,-2.18046603002,0.972559147268,0.287879739617,-0.36917643401,-0.393482765697,0.313116298481,0.0946682989209,0.479433212127,0.754978392176,189.150173665,440.956034295,329.271003696,101 - Dog
0.0261564675174,0.556913447223,-420.047228344,158.357187426,-5.44849091522,-2.64869657771,10.7193142988,13.4645102796,9.91531646233,7.7745845863,7.89957338617,6.63226033925,7.08732905165,9.02475571298,8.82803282147,1422.31984418,3488.47882831,2226.89103138,101 - Dog
0.042454411978,1.2332556394,-399.702241966,98.4311303424,12.8359931973,-7.14283960947,-18.6999774161,-17.7624327885,-20.3461953336,-13.7100407518,-6.38726652897,-13.588964894,-9.67483236134,0.338860403571,0.692225181449,1778.42361108,4073.07281848,2509.28843992,101 - Dog
0.0768153639791,1.29427550661,-357.297341562,74.8953666301,6.20999742772,-5.21938561454,0.944590676977,12.157757954,1.22337714579,-5.25888675255,-5.12648502962,-5.41548306245,-5.63289502373,-3.06522778173,4.16732962184,2807.55146114,7673.11462261,3502.93571664,101 - Dog
0.0261485371955,1.9211367462,-370.807345955,154.787671057,42.273394276,-1.20604757551,-2.49091400527,-7.97717042527,-10.4801441373,-5.89477291412,-4.1001717668,-6.49544756854,-9.55148072059,-9.16411127181,-2.63192752665,1142.73093377,2802.9635613,1732.62336109,101 - Dog
0.0403313515081,1.41348411286,-364.620272969,160.036530549,-10.1550756806,-49.205213119,-47.2823693238,-24.8784193117,-23.484139711,-17.8975157492,-8.00222974658,-15.0002367211,-10.6462157716,3.90588060317,11.3528495346,1658.60136138,3307.86971161,2180.76375786,101 - Dog
0.0684058240284,0.813857038528,-466.838992757,57.0019210692,-22.1537108293,-25.9992740969,-18.6807499112,-5.5629462655,-12.9292283224,-5.42190315405,0.00232850496709,-1.83799472334,-1.53483584886,-2.28268985417,-2.47361819493,2110.67452408,4911.96844185,2269.05292359,101 - Dog
0.0250405579321,1.93094098625,-410.592328822,79.3514872205,2.58959087455,-13.4782578402,-25.0835194133,-15.224882271,-6.08736872292,-13.5307325214,-10.4436206729,-2.41189762226,-3.96061333982,-5.40310781698,-5.24081085503,1806.67260543,4576.87982617,2505.46266093,101 - Dog
